,building_id,registration_id,borough,house_number,street_name,postcode,of_dwelling_units,infested_dwelling_unit_count,eradicated_unit_count,re_infested_dwelling_unit,filing_date,filing_period_start_date,filling_period_end_date,latitude,longitude,community_board,city_council_district,census_tract_2010,bin,bbl,nta
848,323765,333695,BROOKLYN,26,LEFFERTS PLACE,11238.0,7,0,0,0,2020-12-21T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.681655,-73.962507,2,35,201,3057802.0,3020180024.0,Clinton Hill
849,513689,404289,QUEENS,86-12,102 STREET,11418.0,4,0,0,0,2021-02-17T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.695875,-73.845722,9,29,24,4191437.0,4091810030.0,Richmond Hill
850,235061,315854,BROOKLYN,160,DUPONT STREET,11222.0,8,0,0,0,2022-01-18T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.736015,-73.953563,1,33,575,3063848.0,3024960025.0,Greenpoint
851,10633,122515,MANHATTAN,57,EAST 3 STREET,10003.0,13,0,0,0,2020-10-14T00:00:00.000,2018-11-01T00:00:00.000,2019-10-31T00:00:00.000,40.725212,-73.988971,3,2,38,1006194.0,1004450058.0,East Village
852,393473,364547,BROOKLYN,1974,WEST 11 STREET,11223.0,3,0,0,0,2021-04-27T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.599012,-73.982794,11,43,406,3189811.0,3070770033.0,Gravesend (West)
853,139561,322085,BROOKLYN,154,14 STREET,11215.0,6,0,0,0,2021-12-09T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.667973,-73.992567,6,39,117,3023606.0,3010400022.0,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
854,33147,111873,MANHATTAN,132,WEST 45 STREET,10036.0,81,0,0,0,2023-06-28T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.757218,-73.983786,5,4,119,1022632.0,1009970047.0,Midtown-Times Square
855,281737,376218,BROOKLYN,1203,EAST 92 STREET,11236.0,12,0,0,0,2019-12-19T00:00:00.000,2018-11-01T00:00:00.000,2019-10-31T00:00:00.000,40.640439,-73.903851,18,46,966,3256927.0,3082007501.0,Canarsie
856,345945,371426,BROOKLYN,1084,NOSTRAND AVENUE,11225.0,6,0,0,0,2023-06-19T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.661411,-73.950718,9,40,800,3114824.0,3050300042.0,Prospect Lefferts Gardens-Wingate
857,806568,222111,BRONX,333,EAST 181 STREET,10457.0,121,2,2,2,2021-01-04T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.853979,-73.898894,5,15,379,2013306.0,2031430036.0,Mount Hope
858,814049,427088,QUEENS,83-15,98 STREET,11421.0,108,0,0,0,2019-02-11T00:00:00.000,2017-11-01T00:00:00.000,2018-11-30T00:00:00.000,40.699872,-73.85285,9,30,64101,4315343.0,4039070960.0,Woodhaven
859,390891,364032,BROOKLYN,1636,WEST 5 STREET,11223.0,2,0,0,0,2021-04-29T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.607334,-73.97855,11,44,426,3175571.0,3066260021.0,Gravesend (West)
860,302814,385925,BROOKLYN,679,GRAND STREET,11211.0,12,0,0,0,2023-06-27T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.711531,-73.945162,1,34,495,3069428.0,3027820041.0,East Williamsburg
861,243347,319119,BROOKLYN,1249,EAST 13 STREET,11230.0,71,0,0,0,2022-02-08T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.619077,-73.962117,14,44,768,3180644.0,3067330029.0,Midwood
862,23109,127301,MANHATTAN,49,IRVING PLACE,10003.0,6,0,0,0,2020-12-23T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.735796,-73.987461,5,2,50,1017830.0,1008720065.0,Gramercy
863,59951,216078,BRONX,2411,CROTONA AVENUE,10458.0,4,0,0,0,2023-07-13T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.854442,-73.883371,6,15,389,2012926.0,2031050056.0,Belmont
864,142839,356346,BROOKLYN,4317,18 AVENUE,11218.0,4,0,0,0,2022-07-14T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.631128,-73.976337,14,44,480,3127645.0,3054150018.0,Flatbush (West)-Ditmas Park-Parkville
865,513695,416133,QUEENS,86-22,102 STREET,11418.0,6,0,0,0,2022-03-14T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.695685,-73.845639,9,29,24,4191439.0,4091810034.0,Richmond Hill
866,341466,347706,BROOKLYN,185,NASSAU AVENUE,11222.0,4,0,0,0,2021-01-12T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.725455,-73.945727,1,33,571,3066388.0,3026530037.0,Greenpoint
867,380251,363017,BROOKLYN,44,SUTTON STREET,11222.0,6,0,0,0,2023-06-25T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.724519,-73.940486,1,33,593,3067308.0,3026900057.0,Greenpoint
868,16368,107546,MANHATTAN,173,EAST 77 STREET,10075.0,59,0,0,0,2019-12-16T00:00:00.000,2018-11-01T00:00:00.000,2019-10-31T00:00:00.000,40.773266,-73.958942,8,4,140,1043200.0,1014127503.0,Upper East Side-Carnegie Hill
869,16513,119791,MANHATTAN,168,EAST 78 STREET,10075.0,38,0,0,0,2022-01-20T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.77396,-73.95866,8,4,140,1077853.0,1014127501.0,Upper East Side-Carnegie Hill
870,990930,388680,BROOKLYN,209,KENT STREET,11222.0,10,0,0,0,2021-12-29T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.731093,-73.952499,1,33,575,3425623.0,3025510040.0,Greenpoint
871,29904,122598,MANHATTAN,253,WEST 11 STREET,10014.0,9,0,0,0,2020-12-08T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.736222,-74.003294,2,3,77,1010978.0,1006140045.0,West Village
872,107777,215284,BRONX,2185,RYER AVENUE,10457.0,3,0,0,0,2021-05-12T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.854842,-73.900039,5,15,381,2013713.0,2031570056.0,Mount Hope
873,107777,215284,BRONX,2185,RYER AVENUE,10457.0,3,0,0,0,2021-05-12T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.854842,-73.900039,5,15,381,2013713.0,2031570056.0,Mount Hope
874,232975,376763,BROOKLYN,324,DEVOE STREET,11211.0,54,0,0,0,2021-07-25T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.713816,-73.937563,1,34,481,3331345.0,3029210016.0,East Williamsburg
875,95893,224015,BRONX,1595,METROPOLITAN AVENUE,10462.0,64,0,0,0,2019-01-30T00:00:00.000,2017-11-01T00:00:00.000,2018-11-30T00:00:00.000,40.840109,-73.857093,9,18,21001,2096769.0,2039447501.0,Parkchester
876,12312,121784,MANHATTAN,321,EAST 18 STREET,10003.0,4,0,0,0,2021-03-01T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.734552,-73.982417,6,2,48,1020474.0,1009240015.0,Gramercy
877,187705,300622,BROOKLYN,4902,AVENUE D,11203.0,14,0,0,0,2021-04-21T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.642074,-73.930193,17,45,840,3106170.0,3047800001.0,East Flatbush-Farragut
878,367719,363570,BROOKLYN,1959,SCHENECTADY AVENUE,11234.0,3,0,0,0,2023-10-11T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.624165,-73.930352,18,45,676,3217589.0,3078270018.0,Flatlands
879,247624,345221,BROOKLYN,2157,EAST 18 STREET,11229.0,3,0,0,0,2021-05-29T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.597983,-73.953317,15,48,578,3199732.0,3073510053.0,Madison
880,212479,324257,BROOKLYN,20,BRIGHTON 4 TERRACE,11235.0,4,0,0,0,2021-12-03T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.581902,-73.963736,13,48,366,3196396.0,3072620031.0,Brighton Beach
881,10972,105763,MANHATTAN,510,EAST 6 STREET,10009.0,20,0,0,0,2019-12-11T00:00:00.000,2018-11-01T00:00:00.000,2019-10-31T00:00:00.000,40.725247,-73.983451,3,2,32,1005048.0,1004010015.0,East Village
882,6427,129269,MANHATTAN,174,AVENUE B,10009.0,8,0,0,0,2021-12-30T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.727382,-73.979543,3,2,34,1005137.0,1004040028.0,East Village
883,322135,374479,BROOKLYN,35,LAFAYETTE AVENUE,11217.0,3,0,0,0,2021-12-14T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.686902,-73.977572,2,35,33,3059178.0,3021080018.0,Fort Greene
884,60551,219350,BRONX,2532,DAVIDSON AVENUE,10468.0,3,0,0,0,2023-07-03T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.864912,-73.900613,7,14,265,2014368.0,2032010013.0,University Heights (North)-Fordham
885,24986,101221,MANHATTAN,795,MADISON AVENUE,10065.0,6,0,0,0,2021-04-15T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.768734,-73.967646,8,4,122,1041212.0,1013820023.0,Upper East Side-Carnegie Hill
886,388644,313287,BROOKLYN,253,WASHINGTON AVENUE,11205.0,29,0,0,0,2021-12-29T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.691049,-73.966407,2,35,195,3055093.0,3019180024.0,Clinton Hill
887,42463,130280,MANHATTAN,536,WEST 150 STREET,10031.0,6,0,0,0,2023-07-14T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.828861,-73.946416,9,7,233,1062113.0,1020810046.0,Hamilton Heights-Sugar Hill
888,969606,387734,BROOKLYN,823,EAST 16TH STREET,,11,0,0,0,2020-02-05T00:00:00.000,2018-11-01T00:00:00.000,2019-10-31T00:00:00.000,40.629625,-73.961275,14,45,532,3179392.0,3067000076.0,Midwood
889,931832,227233,BRONX,448,EAST 136 STREET,10454.0,3,0,0,0,2022-01-21T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.807277,-73.922596,1,8,25,2113916.0,2022800130.0,Mott Haven-Port Morris
890,324565,354537,BROOKLYN,532,LEONARD STREET,11222.0,3,0,0,0,2022-04-06T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.723171,-73.949416,1,33,571,3066812.0,3026810051.0,Greenpoint
891,34787,129790,MANHATTAN,118,WEST 71 STREET,10023.0,5,0,0,0,2023-06-22T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.777004,-73.979954,7,6,157,1029768.0,1011420040.0,Upper West Side-Lincoln Square
892,102939,215968,BRONX,3260,PERRY AVENUE,10467.0,51,2,2,0,2019-02-25T00:00:00.000,2017-11-01T00:00:00.000,2018-11-30T00:00:00.000,40.876018,-73.876091,7,11,42902,2018349.0,2033470010.0,Norwood
893,7114,131903,MANHATTAN,280,BLEECKER STREET,10014.0,3,0,0,0,2020-02-06T00:00:00.000,2018-11-01T00:00:00.000,2019-10-31T00:00:00.000,40.731781,-74.00333,2,3,67,1009949.0,1005870025.0,West Village
894,62623,210804,BRONX,401,EAST 136 STREET,10454.0,9,0,0,0,2021-03-15T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.80778,-73.923745,1,8,25,2000217.0,2022810001.0,Mott Haven-Port Morris
895,340767,338696,BROOKLYN,414,MYRTLE AVENUE,11205.0,3,0,0,0,2022-03-30T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.693117,-73.969251,2,35,195,3054792.0,3019010027.0,Clinton Hill
896,10660,103606,MANHATTAN,9,EAST 3 STREET,10003.0,13,0,0,0,2022-03-04T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.726126,-73.991135,3,2,38,1077970.0,1004590045.0,East Village
897,30049,116202,MANHATTAN,259,WEST 12 STREET,10014.0,26,0,0,0,2020-12-01T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.737614,-74.002905,2,3,77,1011056.0,1006150091.0,West Village
898,941432,383976,BROOKLYN,186,SOUTH OXFORD STREET,11217.0,3,0,0,0,2021-02-09T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.683783,-73.972969,2,35,179,3349118.0,3020040121.0,Fort Greene
899,17868,139169,MANHATTAN,155,EAST 88 STREET,10128.0,50,0,0,0,2022-02-23T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.78059,-73.954107,8,5,14802,1048080.0,1015170025.0,Upper East Side-Carnegie Hill
900,341181,338143,BROOKLYN,79,NORTH HENRY STREET,11222.0,4,0,0,0,2022-05-02T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.72221,-73.943003,1,33,591,3067689.0,3027030040.0,Greenpoint
901,702515,412942,QUEENS,35-49,VERNON BOULEVARD,11106.0,3,0,0,0,2021-05-25T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.762919,-73.941885,1,26,39,4003910.0,4003280007.0,Queensbridge-Ravenswood-Dutch Kills
902,218002,374240,BROOKLYN,604,CARROLL STREET,11215.0,3,0,0,0,2023-06-27T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.675512,-73.982288,6,39,133,3020399.0,3009610024.0,Park Slope
903,130791,370417,BROOKLYN,5701,5 AVENUE,11220.0,4,0,0,0,2023-06-20T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.641096,-74.014474,7,38,102,3015722.0,3008480008.0,Sunset Park (Central)
904,49287,210921,BRONX,862,BECK STREET,10459.0,8,0,0,0,2021-12-15T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.818337,-73.896643,2,17,87,2005601.0,2027090022.0,Longwood
905,370476,374124,BROOKLYN,8901,SHORE ROAD,11209.0,52,0,0,0,2020-12-30T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.62316,-74.040648,10,43,50,3153886.0,3060580012.0,Bay Ridge
906,160768,344573,BROOKLYN,1233,59 STREET,11219.0,2,0,0,0,2021-06-22T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.63026,-73.999305,12,44,192,3140737.0,3057040064.0,Borough Park
907,305112,328823,BROOKLYN,147,GUERNSEY STREET,11222.0,8,0,0,0,2021-06-30T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.725865,-73.954022,1,33,561,3065503.0,3026170018.0,Greenpoint
908,25030,100731,MANHATTAN,922,MADISON AVENUE,10021.0,6,0,0,0,2021-07-08T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.772697,-73.964781,8,4,130,1041497.0,1013880017.0,Upper East Side-Carnegie Hill
