Unnamed: 0,building_id,registration_id,borough,house_number,street_name,postcode,of_dwelling_units,infested_dwelling_unit_count,eradicated_unit_count,re_infested_dwelling_unit,filing_date,filing_period_start_date,filling_period_end_date,latitude,longitude,community_board,city_council_district,census_tract_2010,bin,bbl,nta,Year,Quarter,Month,Day,Season,Weekday,Is_Weekend,percent of units infested
226,43460,111997,MANHATTAN,563,WEST 183 STREET,10033.0,6,0,0,0,2023-10-02,2021-11-01,2022-10-31,40.850188,-73.932082,12,10,269,1063685.0,1021540093.0,Washington Heights (North),2023,4,10,2,Fall,0,Weekday,0.0
227,304817,387411,BROOKLYN,74,GREENPOINT AVENUE,11222.0,13,0,0,0,2021-03-31,2019-11-01,2020-10-31,40.729819,-73.958143,1,33,565,3337057.0,3025620019.0,Greenpoint,2021,1,3,31,Spring,2,Weekday,0.0
228,357024,314411,BROOKLYN,249,PROSPECT PLACE,11238.0,8,0,0,0,2022-01-06,2020-11-01,2021-10-31,40.677485,-73.967964,8,35,205,3028536.0,3011520088.0,Prospect Heights,2022,1,1,6,Winter,3,Weekday,0.0
229,73384,217672,BRONX,717,EAST 242 STREET,10470.0,4,0,0,0,2023-06-19,2021-11-01,2022-10-31,40.905609000000005,-73.848892,12,11,442,2071913.0,2051150016.0,Wakefield-Woodlawn,2023,2,6,19,Summer,0,Weekday,0.0
230,342046,337266,BROOKLYN,271,NEPTUNE AVENUE,11235.0,5,0,0,0,2021-12-07,2020-11-01,2021-10-31,40.58124,-73.96337,13,48,366,3196381.0,3072620003.0,Brighton Beach,2021,4,12,7,Winter,1,Weekday,0.0
231,16040,138606,MANHATTAN,177,EAST 74 STREET,10021.0,86,0,0,0,2019-01-08,2017-11-01,2018-11-30,40.771364,-73.96033299999999,8,4,128,1043089.0,1014090033.0,Upper East Side-Carnegie Hill,2019,1,1,8,Winter,1,Weekday,0.0
232,904460,382406,BROOKLYN,734,LIVONIA AVENUE,11207.0,3,0,0,0,2023-07-11,2021-11-01,2022-10-31,40.665378999999994,-73.889808,5,42,1124,3391670.0,3038270027.0,East New York-New Lots,2023,3,7,11,Summer,1,Weekday,0.0
233,23127,109156,MANHATTAN,78,IRVING PLACE,10003.0,8,0,0,0,2021-12-16,2020-11-01,2021-10-31,40.736959999999996,-73.986587,6,2,50,1078741.0,1008747505.0,Gramercy,2021,4,12,16,Winter,3,Weekday,0.0
234,16030,131788,MANHATTAN,163,EAST 74 STREET,10021.0,6,0,0,0,2020-12-15,2019-11-01,2020-10-31,40.771488,-73.960622,8,4,128,1043108.0,1014090127.0,Upper East Side-Carnegie Hill,2020,4,12,15,Winter,1,Weekday,0.0
235,289696,315882,BROOKLYN,153,ENGERT AVENUE,11222.0,6,0,0,0,2020-01-08,2018-11-01,2019-10-31,40.721733,-73.944331,1,33,591,3067655.0,3027020043.0,Greenpoint,2020,1,1,8,Winter,2,Weekday,0.0
236,123224,219897,BRONX,3235,WHITE PLAINS ROAD,10467.0,3,0,0,0,2023-03-20,2021-11-01,2022-10-31,40.872136,-73.867145,12,15,374,2056228.0,2045950038.0,Williamsbridge-Olinville,2023,1,3,20,Spring,0,Weekday,0.0
237,213596,305754,BROOKLYN,720,BRISTOL STREET,11236.0,4,0,0,0,2021-05-14,2019-11-01,2020-10-31,40.653176,-73.90845,16,42,922,3083051.0,3036410045.0,Brownsville,2021,2,5,14,Spring,4,Weekday,0.0
238,29614,108990,MANHATTAN,317,WEST 4 STREET,10014.0,3,0,0,0,2021-05-21,2019-11-01,2020-10-31,40.737386,-74.003821,2,3,77,1011001.0,1006150009.0,West Village,2021,2,5,21,Spring,4,Weekday,0.0
239,805439,132332,MANHATTAN,715,WASHINGTON STREET,10014.0,10,0,0,0,2019-12-02,2018-11-01,2019-10-31,40.735363,-74.008371,2,3,75,1078264.0,1006330006.0,West Village,2019,4,12,2,Winter,0,Weekday,0.0
240,24155,121080,MANHATTAN,346,LEXINGTON AVENUE,10016.0,6,0,0,0,2021-07-22,2019-11-01,2020-10-31,40.749959999999994,-73.97714,6,4,80,1019490.0,1008950075.0,Murray Hill-Kips Bay,2021,3,7,22,Summer,3,Weekday,0.0
241,18610,135095,MANHATTAN,208,EAST 95 STREET,10128.0,15,0,0,0,2023-07-11,2021-11-01,2022-10-31,40.784192,-73.949078,8,5,15601,1049237.0,1015400043.0,Upper East Side-Yorkville,2023,3,7,11,Summer,1,Weekday,0.0
242,10837,115272,MANHATTAN,511,EAST 5 STREET,10009.0,8,0,0,0,2019-12-27,2018-11-01,2019-10-31,40.724654,-73.983884,3,2,32,1005078.0,1004010058.0,East Village,2019,4,12,27,Winter,4,Weekday,0.0
243,165462,360614,BROOKLYN,1026,66 STREET,11219.0,6,0,0,0,2022-03-11,2020-11-01,2021-10-31,40.628918,-74.008023,10,43,210,3142397.0,3057580016.0,Dyker Heights,2022,1,3,11,Spring,4,Weekday,0.0
244,657855,403468,QUEENS,1673,GATES AVENUE,11385.0,6,0,0,0,2022-03-08,2020-11-01,2021-10-31,40.701559,-73.910172,5,34,547,4082365.0,4034470052.0,Ridgewood,2022,1,3,8,Spring,1,Weekday,0.0
245,18308,103975,MANHATTAN,170,EAST 92 STREET,10128.0,19,0,0,0,2019-01-15,2017-11-01,2018-11-30,40.782965999999995,-73.952007,8,5,15801,1048333.0,1015200140.0,Upper East Side-Carnegie Hill,2019,1,1,15,Winter,1,Weekday,0.0
246,159318,356392,BROOKLYN,1616,57 STREET,11204.0,3,0,0,0,2022-03-15,2020-11-01,2021-10-31,40.626241,-73.989675,12,44,470,3131148.0,3054970014.0,Borough Park,2022,1,3,15,Spring,1,Weekday,0.0
247,393555,374907,BROOKLYN,2332,WEST 11 STREET,11223.0,6,0,0,0,2023-06-25,2021-11-01,2022-10-31,40.590887,-73.981216,13,47,382,3194228.0,3071620019.0,Gravesend (South),2023,2,6,25,Summer,6,Weekend,0.0
248,38099,128043,MANHATTAN,608,WEST 113 STREET,10025.0,12,0,0,0,2021-06-23,2019-11-01,2020-10-31,40.806389,-73.96606700000001,9,7,199,1057339.0,1018950027.0,Morningside Heights,2021,2,6,23,Summer,2,Weekday,0.0
249,344185,311127,BROOKLYN,38,NEWEL STREET,11222.0,4,0,0,0,2021-06-16,2019-11-01,2020-10-31,40.723919,-73.946862,1,33,571,3066958.0,3026840054.0,Greenpoint,2021,2,6,16,Summer,2,Weekday,0.0
250,23841,143370,MANHATTAN,132,LEXINGTON AVENUE,10016.0,3,0,0,0,2022-02-16,2020-11-01,2021-10-31,40.74303,-73.982191,5,2,72,1018230.0,1008840066.0,Murray Hill-Kips Bay,2022,1,2,16,Winter,2,Weekday,0.0
251,9513,127530,MANHATTAN,85,CHRISTOPHER STREET,10014.0,22,0,0,0,2021-12-30,2020-11-01,2021-10-31,40.733494,-74.00370600000001,2,3,73,1011172.0,1006190081.0,West Village,2021,4,12,30,Winter,3,Weekday,0.0
252,992243,388973,BROOKLYN,3514,SURF AVENUE,11224.0,425,0,0,0,2023-06-13,2021-11-01,2022-10-31,40.572967999999996,-74.00059,13,47,340,3426734.0,3070657501.0,Coney Island-Sea Gate,2023,2,6,13,Summer,1,Weekday,0.0
253,136584,364487,BROOKLYN,5715,11 AVENUE,11219.0,3,0,0,0,2022-03-25,2020-11-01,2021-10-31,40.633065,-74.001315,12,44,216,3140329.0,3056960004.0,Borough Park,2022,1,3,25,Spring,4,Weekday,0.0
254,27278,103854,MANHATTAN,417,RIVERSIDE DRIVE,10025.0,76,0,0,0,2021-01-21,2019-11-01,2020-10-31,40.807446,-73.966926,9,7,199,1057358.0,1018950076.0,Morningside Heights,2021,1,1,21,Winter,3,Weekday,0.0
255,344189,327271,BROOKLYN,42,NEWEL STREET,11222.0,8,0,0,0,2020-12-31,2019-11-01,2020-10-31,40.724004,-73.946908,1,33,571,3066960.0,3026840056.0,Greenpoint,2020,4,12,31,Winter,3,Weekday,0.0
256,385886,346827,BROOKLYN,512,VAN BUREN STREET,11221.0,8,0,0,0,2023-07-10,2021-11-01,2022-10-31,40.691748,-73.92848199999999,3,36,387,3043885.0,3016170037.0,Bedford-Stuyvesant (East),2023,3,7,10,Summer,0,Weekday,0.0
257,330962,354065,BROOKLYN,448,MADISON STREET,11221.0,6,0,0,0,2023-10-04,2021-11-01,2022-10-31,40.685906,-73.9402,3,36,277,3051788.0,3018260021.0,Bedford-Stuyvesant (East),2023,4,10,4,Fall,2,Weekday,0.0
258,147360,334409,BROOKLYN,1415,35 STREET,11218.0,6,0,0,0,2021-03-15,2019-11-01,2020-10-31,40.641295,-73.981328,12,39,228,3125147.0,3053510057.0,Borough Park,2021,1,3,15,Spring,0,Weekday,0.0
259,689568,406272,QUEENS,1693,PUTNAM AVENUE,11385.0,4,0,0,0,2023-06-21,2021-11-01,2022-10-31,40.700206,-73.906809,5,34,551,4082449.0,4034510024.0,Ridgewood,2023,2,6,21,Summer,2,Weekday,0.0
260,705132,420514,QUEENS,68-05,WOODHAVEN BOULEVARD,11374.0,31,0,0,0,2023-06-12,2021-11-01,2022-10-31,40.715340000000005,-73.860452,6,29,703,4074398.0,4031480006.0,Rego Park,2023,2,6,12,Summer,0,Weekday,0.0
261,885846,142960,MANHATTAN,11,MONROE STREET,10002.0,10,0,0,0,2023-07-08,2021-11-01,2022-10-31,40.711442,-73.995913,3,1,8,1087344.0,1002767502.0,Chinatown-Two Bridges,2023,3,7,8,Summer,5,Weekend,0.0
262,182728,347608,BROOKLYN,359,ADELPHI STREET,11238.0,3,0,0,0,2023-07-04,2021-11-01,2022-10-31,40.686721999999996,-73.97057,2,35,181,3059455.0,3021210004.0,Fort Greene,2023,3,7,4,Summer,1,Weekday,0.0
263,345927,302134,BROOKLYN,1060,NOSTRAND AVENUE,11225.0,3,0,0,0,2021-06-01,2019-11-01,2020-10-31,40.662185,-73.95080300000001,9,40,800,3035361.0,3013290040.0,Prospect Lefferts Gardens-Wingate,2021,2,6,1,Summer,1,Weekday,0.0
264,213318,366575,BROOKLYN,402,BRIGHTON BEACH AVENUE,11235.0,4,0,0,0,2021-12-29,2020-11-01,2021-10-31,40.577238,-73.963123,13,48,36002,3245083.0,3086880067.0,Brighton Beach,2021,4,12,29,Winter,2,Weekday,0.0
265,303910,327473,BROOKLYN,1413,GREENE AVENUE,11237.0,6,0,0,0,2023-07-10,2021-11-01,2022-10-31,40.701284,-73.916361,4,37,443,3075172.0,3032900045.0,Bushwick (West),2023,3,7,10,Summer,0,Weekday,0.0
266,325721,330239,BROOKLYN,777,LIBERTY AVENUE,11208.0,3,0,0,0,2023-06-28,2021-11-01,2022-10-31,40.676706,-73.881,5,37,1168,3088434.0,3039730061.0,Cypress Hills,2023,2,6,28,Summer,2,Weekday,0.0
267,589,110079,MANHATTAN,383,1 AVENUE,10010.0,8,0,0,0,2018-12-17,2017-11-01,2018-11-30,40.736354999999996,-73.978797,6,2,64,1078821.0,1009280026.0,Gramercy,2018,4,12,17,Winter,0,Weekday,0.0
268,972395,144188,MANHATTAN,1110,PARK AVENUE,10128.0,9,0,0,0,2018-12-27,2017-11-01,2018-11-30,40.782514,-73.95551,8,4,15002,1090105.0,1015017502.0,Upper East Side-Carnegie Hill,2018,4,12,27,Winter,3,Weekday,0.0
269,973789,386991,BROOKLYN,253,DEVOE STREET,11211.0,7,0,0,0,2022-03-14,2020-11-01,2021-10-31,40.713916,-73.939633,1,34,481,3422769.0,3029160052.0,East Williamsburg,2022,1,3,14,Spring,0,Weekday,0.0
270,67699,216479,BRONX,1154,EAST 212 STREET,10469.0,6,0,0,0,2023-07-05,2021-11-01,2022-10-31,40.874814,-73.852835,12,12,368,2059778.0,2047060064.0,Williamsbridge-Olinville,2023,3,7,5,Summer,2,Weekday,0.0
271,928803,383085,BROOKLYN,36,TROY AVENUE,11213.0,3,0,0,0,2023-07-01,2021-11-01,2022-10-31,40.67841,-73.93577900000001,3,36,271,3390066.0,3017050052.0,Bedford-Stuyvesant (East),2023,3,7,1,Summer,5,Weekend,0.0
272,225982,371872,BROOKLYN,258,CORBIN PLACE,11235.0,1,0,0,0,2023-06-21,2021-11-01,2022-10-31,40.575272,-73.95356,15,48,61002,3245739.0,3087230264.0,Brighton Beach,2023,2,6,21,Summer,2,Weekday,0.0
273,2166,140985,MANHATTAN,288,3 AVENUE,10010.0,166,0,0,0,2020-01-27,2018-11-01,2019-10-31,40.738428000000006,-73.983455,6,2,68,1018022.0,1008780038.0,Gramercy,2020,1,1,27,Winter,0,Weekday,0.0
274,40587,119831,MANHATTAN,202,WEST 133 STREET,10030.0,12,0,0,0,2023-06-20,2021-11-01,2022-10-31,40.814198,-73.94511700000001,10,9,226,1058786.0,1019380038.0,Harlem (North),2023,2,6,20,Summer,1,Weekday,0.0
275,63483,207015,BRONX,344,EAST 146 STREET,10451.0,11,0,0,0,2021-04-26,2019-11-01,2020-10-31,40.815194,-73.921063,1,8,51,2000822.0,2023260027.0,Mott Haven-Port Morris,2021,2,4,26,Spring,0,Weekday,0.0
